subject,count,link
"navigation",19,"/browse.html#navigation"
"tools",19,"/browse.html#tools"
"finding latitude",11,"/browse.html#finding%20latitude"
"equipment",9,"/browse.html#equipment"
"octant",6,"/browse.html#octant"
"sextant",2,"/browse.html#sextant"
"geology",2,"/browse.html#geology"
"two pole chain",1,"/browse.html#two%20pole%20chain"
"chronometer",1,"/browse.html#chronometer"
"artificial horizons",1,"/browse.html#artificial%20horizons"
"surveyors compass",1,"/browse.html#surveyors%20compass"
"circumferentor",1,"/browse.html#circumferentor"
"latitude and longitude",1,"/browse.html#latitude%20and%20longitude"
"spirit level",1,"/browse.html#spirit%20level"
"journals",1,"/browse.html#journals"
"pocket compass",1,"/browse.html#pocket%20compass"
